,0,1,2,3
254,254.0,"804,1001","875.686594755,1169.94536717","3,3"
255,255.0,"1398,1378","37.1255927513,22.0836876607","1,1"
256,256.0,"809,1417,534","109.516103193,196.386186668,91.2573620134","3,3,3"
257,257.0,"1283,1263,1283,1263,1283,1263,1283,1263","64.3163121815,89.3802192504,64.3163121815,89.3802192504,64.3163121815,89.3802192504,64.3163121815,89.3802192504","2,2,1,1,2,2,2,2"
258,258.0,"209,683","69.1869149289,73.1179751312","1,1"
259,259.0,"438,66","31.330363046,13.7546294083","1,1"
260,260.0,"822,708,156","236.472843296,1521.87947971,1706.96812759","3,3,3"
261,261.0,"446,537","64.369291147,61.9432742564","1,1"
262,262.0,"1378,1431","25.0127790155,64.1724571095","1,1"
263,263.0,"1097,1301","39.8998243648,41.0078317523","1,1"
264,264.0,285,12.1318667124,1
265,265.0,"1093,690,1123,1093,690,1123,1093,690,1123,1093,690,1123","225.702523247,164.782256865,142.307963001,225.702523247,164.782256865,142.307963001,225.702523247,164.782256865,142.307963001,225.702523247,164.782256865,142.307963001","2,2,2,1,1,1,2,2,2,2,2,2"
266,266.0,"390,315","108.592912014,83.1152407867","1,1"
267,267.0,"482,968","306.147892586,241.624138345","1,1"
268,268.0,"848,1248,848,1248","188.377512842,81.5865036814,188.377512842,81.5865036814","1,1,2,2"
269,269.0,"986,757","60.299624891,29.4872725658","1,1"
270,270.0,"604,314,604,314,604,314","23.0036296515,50.586571952,23.0036296515,50.586571952,23.0036296515,50.586571952","1,1,2,2,2,2"
271,271.0,"51,1200","206.02525075,59.4398159336","1,1"
272,272.0,"900,504","1920.15815818,4072.84150256","3,3"
273,273.0,"887,1205","121.419236143,63.4086061687","1,1"
274,274.0,"564,141","48.7868927559,85.0056868354","3,3"
275,275.0,"58,452","65.5682651373,111.633711754","1,1"
276,276.0,"1228,703,468,1176","2780.00604893,257.649758766,2337.29573182,208.549566937","3,3,3,3"
277,277.0,476,844.74945258,3
278,278.0,"510,444,510,444","13.957594389,23.8986391186,13.957594389,23.8986391186","1,1,2,2"
279,279.0,"1383,671","22.9620813144,103.378382969","1,1"
280,280.0,"523,591,523,591,523,591","67.8783329552,82.2059887873,67.8783329552,82.2059887873,67.8783329552,82.2059887873","1,1,2,2,2,2"
281,281.0,"626,598,626,598,626,598","68.402086417,61.746633714,68.402086417,61.746633714,68.402086417,61.746633714","1,1,2,2,2,2"
282,282.0,"799,1287","9.38070027975,299.587273717","3,3"
283,283.0,"70,95","2.37625025426,3.63925310765","3,3"
284,284.0,36,66.4441838687,4
285,285.0,"1182,264,885,0","11.5659968591,12.1318667124,4.99714466023,58.3345766966","1,1,1,3"
286,286.0,"726,312,726,312,726,312,726,312","15.7805393079,43.7339476422,15.7805393079,43.7339476422,15.7805393079,43.7339476422,15.7805393079,43.7339476422","2,2,1,1,2,2,2,2"
287,287.0,"76,324","68.72151286,121.325901005","1,1"
288,288.0,"397,1162","406.528590777,312.027016283","4,4"
289,289.0,"520,1009,520,1009,520,1009,520,1009","110.546862027,17.1441731125,110.546862027,17.1441731125,110.546862027,17.1441731125,110.546862027,17.1441731125","2,2,1,1,2,2,2,2"
290,290.0,"1277,250","73.1461220482,82.2815677351","1,1"
291,291.0,"928,1279","57.7190172615,46.512402762","1,1"
292,292.0,"413,475,413,475,413,475","18.7946225021,19.8324245204,18.7946225021,19.8324245204,18.7946225021,19.8324245204","1,1,2,2,2,2"
293,293.0,"1326,212,1326,212","77.088904237,55.2157007121,77.088904237,55.2157007121","1,1,2,2"
